"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","69","74","6","31.484739","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","56","62","2","24.133232","0","0"
"/Game/AdvancedMagicFX12/Materials/M_ky_starDust.M_ky_starDust","0","180","192","3","69.951691","0","0"
"Globals","0","2854","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","16","1","6.721508","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","8","1","3.090641","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","24","1","13.181005","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","4.551895","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","10","1","4.683901","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.022465","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","1.007599","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","4.419020","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","66","70","1","49.465073","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","92","96","1","61.608646","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","5.332939","0","0"
"/Game/Player/Pspsps_Cat/MT_Pspsps_CatSkill2.MT_Pspsps_CatSkill2","0","64","64","1","33.871552","0","0"
"/Game/TheSapphire/Art/Materials/M_Props.M_Props","0","123","126","2","64.726814","0","0"
"/Game/Pspsps_Cat/Materials/Cat_Color/M_Chibi_Cat_0.M_Chibi_Cat_0","0","24","24","1","11.794688","0","0"
"/Game/Pspsps_Cat/Materials/Emotion/M_Chibi_Emo_1.M_Chibi_Emo_1","0","64","68","1","25.806904","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","550","598","1","194.911301","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","85","90","1","33.158047","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","123","123","1","58.700809","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","0.861105","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","3.536987","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","8","1","3.427543","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","24","1","11.575273","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","8","1","3.259827","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","0.970781","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","6.628905","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","3.438141","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","49","52","1","22.075922","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","44","44","1","69.306137","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","6","1","1.961352","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","17","17","1","4.485206","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","115","115","1","62.047882","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","847","871","1","296.289429","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","33","35","1","15.786016","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","1.110566","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","63","63","1","34.741959","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","17","17","1","5.511560","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","3.483673","0","0"
"/Game/TheSapphire/Art/Materials/M_Curtain.M_Curtain","0","47","48","2","31.108601","0","0"
"/Game/TheSapphire/Art/Materials/M_CaveMaster.M_CaveMaster","0","150","150","2","80.226006","0","0"
"/Game/TheSapphire/Art/Materials/M_Glass.M_Glass","0","40","40","1","187.642212","0","0"
"/Game/TheSapphire/Art/Materials/M_Water.M_Water","0","86","86","1","165.808823","0","0"
"/Game/TheSapphire/Art/Materials/M_Terrain.M_Terrain","0","691","459","5","448.161499","368","616"
"/Game/TheSapphire/Art/Materials/M_LightBeam.M_LightBeam","0","8","8","1","4.242193","0","0"
"/Game/TheSapphire/Art/Materials/M_LF_Caustics.M_LF_Caustics","0","17","17","1","4.897955","0","0"
"/Game/TheSapphire/Art/Decals/Materials/MI_D_Decals.MI_D_Decals","0","31","31","1","20.954424","0","0"
"/Game/TheSapphire/Art/Particles/Materials/M_Dust_Particle.M_Dust_Particle","0","112","112","1","67.802773","0","0"
"/Game/TheSapphire/Art/Materials/M_Wood.M_Wood","0","21","21","1","14.126626","0","0"
"/Game/TheSapphire/Art/Materials/M_Rocks.M_Rocks","0","21","21","1","14.664454","0","0"
"/Game/TheSapphire/Art/Materials/M_Foliage.M_Foliage","0","42","42","1","24.118490","0","0"
"/Game/TheSapphire/Art/Materials/M_CubeMaterial.M_CubeMaterial","0","21","21","1","12.713887","0","0"
"/Game/Pspsps_Cat/Materials/Equipment/M_Whirligig.M_Whirligig","0","24","24","1","12.785349","0","0"
"/Game/Pspsps_Cat/Materials/Environment/M_Environment_A.M_Environment_A","0","33","33","1","18.420761","0","0"
"/Game/Pspsps_Cat/Materials/Environment/M_Butterfly_A.M_Butterfly_A","0","56","56","1","35.323242","0","0"
"/Game/Pspsps_Cat/Materials/Equipment/M_Hiking_hat_A.M_Hiking_hat_A","0","24","24","1","12.762527","0","0"
"/Game/Pspsps_Cat/Materials/Equipment/M_GrassA_red.M_GrassA_red","0","21","21","1","13.055921","0","0"
"/Game/Pspsps_Cat/Materials/Equipment/M_Baton_wood.M_Baton_wood","0","24","24","1","12.602463","0","0"
"/Game/Pspsps_Cat/Materials/Equipment/M_SpadA.M_SpadA","0","21","21","1","13.268317","0","0"
"/Game/Pspsps_Cat/Meshes/Equipment/M_Pan.M_Pan","0","21","21","1","13.921091","0","0"
"/Game/Pspsps_Cat/Materials/Equipment/M_MeatA.M_MeatA","0","21","21","1","13.614923","0","0"
"/Game/Pspsps_Cat/Materials/Equipment/M_Dried_fish.M_Dried_fish","0","21","21","1","14.558301","0","0"
"/Game/Pspsps_Cat/Materials/Equipment/M_Bag_bread.M_Bag_bread","0","24","24","1","13.294724","0","0"
"/Game/GoodSky/Source/Materials/M_GoodSky_Sun_Stars.M_GoodSky_Sun_Stars","0","2","2","1","1.260698","0","0"
"/Game/GoodSky/Source/Materials/M_GoodSky_Base.M_GoodSky_Base","0","2","2","1","1.048857","0","0"
"/Game/GoodSky/Source/ArrowTool/M_GoodSky_Sun_Emissive.M_GoodSky_Sun_Emissive","0","8","8","1","3.687164","0","0"
"/Game/GoodSky/Source/Materials/M_GoodSky_Sun_Stars_Moon.M_GoodSky_Sun_Stars_Moon","0","2","2","1","1.267635","0","0"
